0.2,-0.7,-0.54,-0.07
-0.1,1,-0.75,-0.07
0.1,0.4,-0.47,0.07
-0.1,1.6,-0.2,0.2
0.3,1,-0.2,0.41
-0.3,1.2,-0.68,0.81
0.5,0,-0.61,0.07
0.4,0.7,-0.2,-0.47
0.1,2.1,-0.88,0.2
0.5,2.6,-0.95,1.29
0.2,3,-0.34,0.81
-0.7,1.3,-1.08,1.56
-1,4,-2.17,2.78
-2.7,4.1,-3.19,3.53
-4.1,4.9,-4.27,5.08
-4.2,9.5,-4.75,5.56
-5.4,6.8,-5.02,5.56
-5.3,4.8,-5.15,5.83
-5.5,7.8,-5.49,5.56
-5.2,7.3,-4.41,4.68
-5,6,-3.39,4.2
-3.8,6,-2.51,2.71
-2.9,5.5,-4.14,2.85
-4.5,4.8,-4.41,4.41
-4.7,4.5,-4.27,3.66
-4,6.1,-4.07,4.14
-4.2,4.2,-4.41,3.32
-5.1,5.3,-4.61,3.46
-5,5.3,-4.68,3.66
-4.3,6.8,-4.75,3.59
-4.6,6.5,-4.61,3.53
-4.9,5.6,-4.54,3.53
-4.9,5,-4.47,3.53
-4.5,4.9,-4,3.32
-4.7,2.8,-2.17,1.9
0.5,-1.2,2.98,-3.59
3.8,-2.2,1.76,-4.07
0.3,4,-1.36,-0.47
-2.2,4.4,-2.58,1.63
-1.4,-0.2,1.56,-1.97
2.6,-0.5,2.71,-10.03
0.7,2.7,-0.95,1.29
-2.4,1.1,-1.83,2.03
-1.4,0.6,0.54,-2.37
3,-1.2,2.98,-2.24
1.4,1.4,-1.56,0.34
-2.8,4.1,-1.69,2.51
-1.9,0.6,0.27,-1.08
1.5,-1.7,2.71,-2.03
2.5,1.9,-0.81,0.81
-2.3,4.1,-1.97,1.49
-0.9,3.7,0.47,-1.08
1.2,-0.8,1.63,-1.97
1.2,1.5,-0.14,0.41
-1.5,2.2,-2.1,1.15
-1.7,1.5,0.2,0.14
1.7,-0.9,1.63,-2.1
1,0.4,-0.68,-0.95
-0.9,2.9,-1.42,2.17
-1.3,0.9,-0.81,-0.41
1,-0.4,2.37,-1.56
0.9,-0.3,-0.75,-0.95
-1,4.3,-1.22,1.9
-1.3,2.3,-0.68,-0.47
0.4,-1.7,2.1,-1.36
1.5,0.4,-0.47,-0.54
-1,2.9,-1.36,1.49
